"1","[국제발신]ifg@? 명절 *만 이벤진행ifg@ifg@? 최고의 메리트ifg@ifg@? 드림ifg@cup**.comifg@ifg@?고향갈땐 두손두둑히 ifg@? 단 **입금시?"
"2","[국외발신]ifg@●빅토리●ifg@ifg@퇴근시간**분전ifg@뒷면이보일정도로ifg@오늘너무쉽다!!ifg@양손으로ifg@쓸어담기바쁨!!ifg@ifg@vⓒ③③*.com"
"3","[국제발신]ifg@오빠안녕하세요ifg@관리드렸던지수에요ifg@이번에도ifg@확실하게가지구왔어요ifg@ifg@정아우.com"
"4","[국제발신]ifg@ifg@VERTifg@ifg@처음 **%ifg@삼+삼ifg@**+*ifg@**+**ifg@***+**ifg@그 이상 **%ifg@ifg@vⓣ-①⑨④*.comifg@KEY:***ifg@"
"5","[국외발신]ifg@?그리스?ifg@이붼츄가넘쳐유~ifg@커피/치킨???ifg@항상감사드립니다ifg@범내려온다~ingifg@gⓡs-②*①.COMifg@카카오 GRS****"
"6","[국외발신]ifg@기분좋은오늘ifg@좋은일ifg@있으시겠죠??ifg@ifg@ⓞⓠ⑦⑨.comifg@코드:Q***"
"7","[국제발신]ifg@fje**.comifg@[구팀장]추,천ifg@[구팀장]보나스[*만]ifg@hilton 호텔"
"8","[국외발신]ifg@-이튼-ifg@ifg@율희님이 초대합니다.ifg@ifg@제이웃이 되어주시겠어요?ifg@ifg@새로오신분 쿠폰증정ifg@ifg@hywd**.comifg@ifg@CODE: hr**"
"9","[국제발신]ifg@▶️아벤大이벤ifg@▶️**+* **+* *+*ifg@▶️매일Allin*프롱ifg@▶️자금력*위~!ifg@▶️쿄드:****ifg@av-ⓔnuⓞ.com"
"10","[국외발신]ifg@언틸다.com <에서ifg@입장[ ** ]입력^^ifg@***,***원 ♥ifg@평균[*OOO]♥ifg@[마루한]시상 받으세요!"
"11","[국외발신]ifg@올스타 이전안내ifg@코-드뱃ifg@ＣOBⓔT-Ｋ*.COMifg@열쐬 SK**ifg@ifg@쳣②*,먜①*ifg@캬즤노,스포츠먜이져ifg@재재X햬외식"
"12","[국외발신]ifg@▶ *월**일ifg@▶ RⓙⓦO*.comifg@▶신규회원 *００명ifg@▶*만원받고~!ifg@▶*O만원 출금하세요ifg@▶*０+*,*０+*,*０+１３ifg@"
"13","[국제발신]ifg@커뮤니티보증AVENifg@▶모든GAME / SPORTSifg@▶*+* **+* **+* **+**ifg@▶올인*%ifg@ifg@av-***⑦.com"
"14","[국제발신]ifg@IEM***.COMifg@ifg@부자카지노☆ifg@ifg@**+*신규이벤★ifg@ifg@에볼루션♡"
"15","[국제발신]ifg@https://dzdzdzrr.wixsite.com/unununbifg@일✅여✅게✅유ifg@야✅기✅임✅니ifg@시✅서✅접✅버ifg@범✅못✅어✅셜ifg@"
"16","[국제발신]ifg@스포츠 전 경기ifg@casino / powerballifg@ifg@*st-***.comifg@ifg@코드 : pbt*ifg@ifg@카톡 : pbt**"
"17","[국제발신]ifg@[LV] ifg@LV주소안내ifg@ifg@접속주소.ᗧ.com"
"18","[국제발신]ifg@하이 ⓢLⓞTifg@쿠폰♡선물?ifg@ifg@g⑧*ⓜf.comifg@ifg@*+* ☑ **+*ifg@**+** ☑ **+**ifg@ifg@KEY➡ **** ifg@"
"19","[국외발신]ifg@☆ 부  자 ☆ifg@ifg@신규 +[￦**,***]ifg@확 인 요 망ifg@ifg@그림좋은 수욜ifg@   ifg@↓↓↓↓↓↓ifg@tin⑤④*.com"
"20","[국제발신]ifg@■ 신*+③ifg@■ 규**+⑤ifg@■ 에*볼,배*당맛집ifg@믹스매치.com"
"21","[국제발신]ifg@B - SPOTifg@ifg@주소쳬코ifg@평생주소ifg@확인하세요ifg@-사 칭 주 의 -ifg@ifg@비스팟주소.com"
"22","[국제발신]ifg@민서 박 : ㅎ https://teams.live.com/l/invite/FEAfzUgitrWtWOugQI?v=s*"
"23","[국외발신]ifg@진로 MGM 업데이트 ifg@개인정산 및 지인정산ifg@진행중ifg@ifg@ⓣn-ⓦe.com"
"24","[국제발신]ifg@주식,코인,부동산 등으로ifg@손실이 크신 분ifg@맞춤형 투자가 필요하신 분ifg@하연주가 도와드릴게요^^ifg@하연주.com[M*]"
"25","[국제발신]ifg@코리안ifg@ifg@안] *년_장수⊇ifg@전] *폴*** 상****ifg@제] **%~드림ifg@일] 코드 ****ifg@ⓚOR*⑤⑤.com"
"26","[국외발신]ifg@심심할때 놀러오세요~ifg@현금교환되는 *만원지급ifg@오징어#고래 최대*천만 ifg@담아가세요~ifg@ifg@→ ⓒm***ⓓⓔ.com"
"27","[국제발신]ifg@[CJ택배]ifg@김성수기사 도착수령지선택요망 *:현관*:경비실*:본인수령 ifg@https://tinyurl.com/*vpczsy*"
"28","[국외발신]ifg@믿기지 않는 혜택!ifg@*+* **+* **+* **+**ifg@롤링은 *~*% 루징금 **%ifg@첫**↑=치킨까지!ifg@Rbⓦslⓞt.com"
"29","[국외발신]ifg@zet***.comifg@가입쿠폰 ifg@* 만- 원 ifg@제트"
"30","[국제발신]ifg@?SLⓞT?ifg@신년쿠폰?지급ifg@*+* ★ **+*ifg@**+** ★ **+**ifg@입구  ****  ◀ifg@▷ bⓨu*ⓖ.com"
"31","[국제발신]ifg@이글목.com ☜ 들어와서ifg@ifg@코.드 * * * 입력하시면ifg@ifg@♥ 무조건 **,***원 증정♥ ifg@ifg@♥스릴+재미 를 더하다♥"
"32","[국제발신]ifg@〖릴&짱〗ifg@*가지+릴game ifg@주말-썹ⓑ**~ifg@각종+이~벤~트 zag⑤⑤⑦◘ℂℴℳ"
"33","[국제발신]ifg@*+* *╉* **+* **+*ifg@**╉** **+** ***+**ifg@▶ iu-ⓐⓢ.comifg@이벤+놀거리많아요ifg@커드 ▷ **"
"34","[국외발신]ifg@부자♥KA.지.N*ifg@뱅뱅플플ifg@입**%루징*%ifg@매일활동ifg@♥*O+*♥ifg@*OO+**ifg@*OO+*Oifg@eve***.com"
"35","[국제발신]ifg@??이사지원??ifg@? 검증완!!ifg@S⚜️ 에뽈 or스포ifg@P⚜️ 커피및 potifg@O⚜️ *만포ifg@ifg@문의뚝 WC**ifg@"
"36","[국제발신]ifg@스포츠-먜이져ifg@비코리아ifg@Ｂ-KR*.COMifg@CODE: NT**ifg@ifg@쳣②*,먜①*ifg@재재없는햬외식ifg@캬즤노,스포츠먜이져[FW]"
